,code,Mean-Peak,Mean-SD,SD-X,SD-Y,Mean-X,Mean-y
172,"[64, 77, 62, 48]",16.203776,7.681266,0.128490,0.134365,1669.929848,1651.172057
173,"[58, 65]",20.449544,2.973766,0.002247,0.074235,1390.516742,428.899697
174,"[65, 48]",12.837780,10.537152,0.036254,0.086949,1891.975371,1611.597766
175,"[71, 79, 53]",15.832665,9.846291,0.146832,0.168253,1891.667301,1419.023743
176,"[71, 79]",22.786943,0.581593,0.053657,0.098242,1891.568204,1419.128325
177,"[47, 63, 79]",17.463036,5.361279,0.103771,0.067831,971.770279,472.784785
178,"[46, 57, 78, 65]",12.147366,6.973031,0.328877,0.246771,1874.587515,1639.506577
179,"[47, 60]",17.372503,5.975669,0.023966,0.139279,1583.960079,91.371132
180,"[72, 70, 53]",13.750641,7.802335,0.128858,0.083455,84.912456,1197.874650
181,"[65, 74]",16.164187,7.134214,0.177891,0.053768,125.583260,1115.288279
182,"[64, 48]",15.573362,7.710480,0.019929,0.153787,956.924028,1875.069233
183,"[79, 63]",17.623950,5.605584,0.193809,0.169750,1305.279989,973.798688
184,"[79, 56]",22.968880,0.254378,0.083705,0.033896,1041.293848,926.990093
185,"[63, 76, 61, 49]",15.269334,6.754818,0.096903,0.244917,935.204372,1000.246866
186,"[65, 77, 61, 48]",15.738062,7.244115,0.271068,0.119946,1129.842839,1368.095291
187,"[56, 69, 73]",10.324641,9.372106,0.364012,0.022611,187.463922,976.988312
188,"[46, 58, 74, 67]",15.694684,6.302842,0.084058,0.086131,910.451843,1177.729194
189,"[77, 62]",15.393586,7.677163,0.317421,0.164554,1774.120931,2044.700784
190,"[71, 77]",21.436233,1.625448,0.048925,0.012215,1416.233574,1373.942698
191,"[56, 77, 52]",14.737621,6.806028,0.182363,0.125095,1883.127422,1514.038569
192,"[71, 61, 53, 72]",11.998218,8.039942,0.100454,0.205414,899.057128,1976.793288
193,"[61, 72]",12.124816,10.693184,0.186974,0.159851,1328.311945,1068.962610
194,"[71, 79, 61, 53]",18.460562,3.704914,0.092902,0.028542,854.373597,1508.923731
195,"[68, 56]",20.055812,2.739670,0.003574,0.009481,184.915271,1319.530044
196,"[72, 55]",18.098567,4.662477,0.043295,0.056716,1762.120312,1977.748863
197,"[77, 48]",13.506514,9.246803,0.145722,0.132326,1827.969080,1979.568624
198,"[46, 55]",21.596296,1.145012,0.024260,0.073571,2032.797914,1970.045050
199,"[67, 46, 58]",20.882237,1.391847,0.063939,0.114077,789.718209,945.020136
200,"[63, 57]",19.835792,2.799255,0.063435,0.010491,1108.078111,903.992420
201,"[74, 46, 67, 57]",15.156585,8.387381,0.241558,0.160125,1501.539794,1401.128109
202,"[55, 74]",12.905324,9.700697,0.183938,0.429724,854.313617,973.614959
203,"[58, 74, 67, 46]",15.091445,6.673027,0.311083,0.086636,1481.314889,1403.244295
